strain	database_strain	accession	date	authors
A/Caen/1/1984	A/Caen/1/84	EPI_ISL_901	1984-01-01	
A/Daejeon/390/2002	A/Daejeon/390/2002	EPI_ISL_3928	2002-11-27	
A/ChristChurch/28/2003	A/Christchurch/28/2003	EPI_ISL_11942	2003-06-24	
A/Anhui/1238/2005	A/ANHUI/1238/2005	EPI_ISL_17358	2005-08-23	
A/Anhui/1239/2005	A/ANHUI/1239/2005	EPI_ISL_17359	2005-08-23	
A/Brazil/1742/2005	A/BRAZIL/1742/2005	EPI_ISL_17364	2005-07-07	
A/Beijing/51/2002	A/Beijing/51/2002	EPI_ISL_18407	2002-12-20	
A/Canada/578/2004	A/Canada/578/2004	EPI_ISL_21872	2004-05-09	
A/Brisbane/24/2008	A/Brisbane/24/2008	EPI_ISL_23848	2008-06-23	Queensland_Health_Forensic_and_Scientific_Services
A/England/669/2008	A/England/669/2008	EPI_ISL_61706	2008-12-30	UK_Health_Security_Agency_-_Colindale
A/England/687/2008	A/England/687/2008	EPI_ISL_61707	2008-12-30	UK_Health_Security_Agency_-_Colindale
A/Algeria/G202/2009	A/Algeria/G202/2009	EPI_ISL_61769	2008-12-23	Institut_Pasteur_d'Algerie
A/BadenWuerttemberg/38/2005	A/Baden-Wurttemberg/38/2005	EPI_ISL_64611	2005-02-09	
A/Cameroon/675/2009	A/Cameroon/675/2009	EPI_ISL_77111	2009-11-11	Centre_Pasteur_du_Cameroun
A/Brisbane/11/2010	A/BRISBANE/11/2010	EPI_ISL_78688	2010-05-26	Queensland_Health_Forensic_and_Scientific_Services
A/Alabama/5/2010	A/Alabama/05/2010	EPI_ISL_81372	2010-07-13	Centers_for_Disease_Control_and_Prevention
A/Bilthoven/1761/1976	A/Bilthoven/1761/1976	EPI_ISL_84896	1976-01-01	
A/Bilthoven/21793/1972	A/Bilthoven/21793/1972	EPI_ISL_84900	1972-01-01	
A/Alaska/5/2010	A/ALASKA/5/2010	EPI_ISL_88045	2010-08-12	Centers_for_Disease_Control_and_Prevention
A/Durban/92/2011	A/Durban/92/2011	EPI_ISL_96032	2011-06-15	National_Institute_for_Communicable_Disease
A/Bangladesh/5071/2011	A/Bangladesh/5071/2011	EPI_ISL_99069	2011-05-19	icddr,b_International_Centre_for_Diarrhoeal_Disease_Research,_Bangladesh
A/Bratislava/31/2011	A/Bratislava/31/2011	EPI_ISL_99869	2011-11-03	National_Public_Health_Institute_of_Slovakia
A/Brisbane/10/2007	A/Brisbane/10/2007	EPI_ISL_110723	2007-01-01	
A/Bilthoven/15793/1968	A/Bilthoven/15793/1968	EPI_ISL_110734	1968-01-01	
A/Bilthoven/16398/1968	A/Bilthoven/16398/1968	EPI_ISL_110745	1968-01-01	
A/Bilthoven/808/1969	A/Bilthoven/808/1969	EPI_ISL_110747	1969-01-01	
A/Bilthoven/2668/1970	A/Bilthoven/2668/1970	EPI_ISL_110777	XXXX-XX-XX	
